Gmt time,Open,High,Low,Close,Volume
01.10.2024 00:00:00.000,2635.595,2637.025,2633.815,2636.255,997949.9972000002
01.10.2024 01:00:00.000,2636.258,2639.675,2635.345,2639.675,968450.0011999999
01.10.2024 02:00:00.000,2639.675,2639.905,2634.865,2636.318,1026870.0021000003
01.10.2024 03:00:00.000,2636.285,2638.508,2634.415,2637.845,1080950.0031
01.10.2024 04:00:00.000,2637.845,2640.285,2637.335,2639.464,1099619.9995000002
01.10.2024 05:00:00.000,2639.458,2644.185,2639.408,2642.955,1289149.9952000002
01.10.2024 06:00:00.000,2642.975,2645.428,2642.505,2645.165,1708629.9884000004
01.10.2024 07:00:00.000,2645.205,2647.318,2641.605,2645.485,2256550.0066000004
01.10.2024 08:00:00.000,2645.505,2646.655,2642.295,2646.425,3057810.0132000004
01.10.2024 09:00:00.000,2646.445,2649.145,2645.258,2648.565,2583719.9833
01.10.2024 10:00:00.000,2648.565,2650.385,2648.155,2650.225,1725200.0012000003
01.10.2024 11:00:00.000,2650.245,2651.955,2646.785,2650.178,2480759.9892000007
01.10.2024 12:00:00.000,2650.115,2656.555,2650.048,2651.435,3879899.9932
01.10.2024 13:00:00.000,2651.435,2671.735,2647.865,2667.528,7066840.018699999
01.10.2024 14:00:00.000,2667.615,2669.755,2657.248,2658.895,6989050.0306
01.10.2024 15:00:00.000,2658.925,2665.284,2653.778,2663.315,5010839.982100002
01.10.2024 16:00:00.000,2663.275,2672.908,2661.135,2666.315,4268309.997399999
01.10.2024 17:00:00.000,2666.315,2671.574,2661.144,2662.298,4429819.990100001
01.10.2024 18:00:00.000,2662.224,2664.865,2657.425,2660.945,2576829.9973999998
01.10.2024 19:00:00.000,2660.924,2664.185,2658.068,2658.588,2797419.9801000003
01.10.2024 20:00:00.000,2658.565,2663.855,2657.755,2663.005,930289.9962
01.10.2024 21:00:00.000,2663.005,2663.005,2663.005,2663.005,0
01.10.2024 22:00:00.000,2662.438,2662.885,2660.985,2661.895,342930.00220000005
01.10.2024 23:00:00.000,2661.925,2662.055,2659.975,2660.218,588120.0009000002
02.10.2024 00:00:00.000,2660.195,2660.518,2656.825,2657.325,1886169.9984999998
02.10.2024 01:00:00.000,2657.385,2661.878,2656.155,2660.495,2394399.9996999996
02.10.2024 02:00:00.000,2660.508,2661.045,2658.715,2659.998,1486480.0059
02.10.2024 03:00:00.000,2659.975,2661.418,2654.955,2655.238,1689329.9952
02.10.2024 04:00:00.000,2655.205,2656.355,2652.548,2653.958,1532550.0016
02.10.2024 05:00:00.000,2653.965,2656.068,2644.395,2647.875,3128759.9828999997
02.10.2024 06:00:00.000,2647.895,2650.705,2647.085,2649.615,1411999.9973000004
02.10.2024 07:00:00.000,2649.555,2655.435,2649.355,2655.315,1930919.9962
02.10.2024 08:00:00.000,2655.315,2655.715,2648.495,2652.335,2804210.0110000004
02.10.2024 09:00:00.000,2652.335,2655.415,2651.425,2652.815,2732269.9654999985
02.10.2024 10:00:00.000,2652.835,2654.255,2648.665,2649.015,1330950.0028
02.10.2024 11:00:00.000,2649.015,2652.455,2647.845,2649.448,1350589.9967
02.10.2024 12:00:00.000,2649.465,2652.805,2643.648,2649.488,2840280.025200001
02.10.2024 13:00:00.000,2649.495,2660.684,2649.135,2659.344,4151690.0192000014
02.10.2024 14:00:00.000,2659.465,2663.194,2647.275,2647.945,4670959.998
02.10.2024 15:00:00.000,2647.945,2650.508,2640.954,2649.835,4827445.008
02.10.2024 16:00:00.000,2649.835,2652.148,2647.928,2649.638,2119239.9948
02.10.2024 17:00:00.000,2649.534,2652.688,2647.095,2652.025,1810480.0006000006
02.10.2024 18:00:00.000,2652.048,2655.848,2650.985,2653.998,2118900.012
02.10.2024 19:00:00.000,2653.978,2658.838,2653.578,2658.498,2636350.0082000005
02.10.2024 20:00:00.000,2658.504,2659.774,2658.165,2658.345,972390.0021999999
02.10.2024 21:00:00.000,2658.345,2658.345,2658.345,2658.345,0
02.10.2024 22:00:00.000,2658.035,2660.195,2657.725,2659.334,319999.9983999999
02.10.2024 23:00:00.000,2659.334,2661.064,2659.228,2660.135,1270099.9888000002
03.10.2024 00:00:00.000,2660.135,2662.775,2657.295,2657.675,1438499.9947000002
