Local time,Open,High,Low,Close,Volume
02.09.2024 17:15:00.000 GMT+0300,2498.365,2500.505,2497.565,2500.285,382420.0005
02.09.2024 17:30:00.000 GMT+0300,2500.285,2500.985,2499.585,2500.875,295119.99850000005
02.09.2024 17:45:00.000 GMT+0300,2501.018,2502.365,2500.915,2501.925,492489.998
02.09.2024 18:00:00.000 GMT+0300,2501.935,2502.315,2500.585,2500.685,348559.9981
02.09.2024 18:15:00.000 GMT+0300,2500.655,2501.635,2499.955,2501.295,251070.00039999996
02.09.2024 18:30:00.000 GMT+0300,2501.295,2501.565,2499.965,2500.095,163529.99959999998
02.09.2024 18:45:00.000 GMT+0300,2500.058,2501.575,2499.815,2501.495,154299.9984
02.09.2024 19:00:00.000 GMT+0300,2501.505,2501.805,2500.678,2500.735,113309.99939999999
02.09.2024 19:15:00.000 GMT+0300,2500.748,2501.028,2500.308,2500.638,133120.00069999998
02.09.2024 19:30:00.000 GMT+0300,2500.638,2501.635,2500.565,2500.845,95819.99949999999
02.09.2024 19:45:00.000 GMT+0300,2500.845,2500.895,2498.515,2500.435,171650.00170000002
02.09.2024 20:00:00.000 GMT+0300,2500.385,2501.225,2499.745,2500.448,131479.9994
02.09.2024 20:15:00.000 GMT+0300,2500.448,2500.538,2499.635,2499.825,62370.00050000001
02.09.2024 20:30:00.000 GMT+0300,2499.825,2500.355,2499.425,2499.555,64939.9998
02.09.2024 20:45:00.000 GMT+0300,2499.555,2499.778,2498.668,2499.324,117870.00059999998
02.09.2024 21:00:00.000 GMT+0300,2499.324,2500.025,2498.655,2499.645,140630.00040000002
02.09.2024 21:15:00.000 GMT+0300,2499.555,2499.915,2498.935,2499.228,104689.9993
03.09.2024 01:00:00.000 GMT+0300,2499.098,2499.855,2498.375,2498.925,67500.00030000001
03.09.2024 01:15:00.000 GMT+0300,2498.848,2499.395,2498.015,2498.435,36839.9998
03.09.2024 01:30:00.000 GMT+0300,2498.455,2498.795,2497.575,2498.025,42449.9998
03.09.2024 01:45:00.000 GMT+0300,2497.995,2498.005,2497.425,2497.525,26910
03.09.2024 02:00:00.000 GMT+0300,2497.525,2498.194,2497.398,2498.035,117750.00059999998
03.09.2024 02:15:00.000 GMT+0300,2498.085,2498.135,2497.585,2497.825,35640.0005
03.09.2024 02:30:00.000 GMT+0300,2497.775,2498.335,2497.475,2498.295,45810.0001
03.09.2024 02:45:00.000 GMT+0300,2498.305,2498.305,2496.305,2497.175,297299.9988
03.09.2024 03:00:00.000 GMT+0300,2497.155,2497.548,2495.975,2497.105,201460.001
03.09.2024 03:15:00.000 GMT+0300,2497.065,2497.405,2496.335,2496.375,152039.99999999997
03.09.2024 03:30:00.000 GMT+0300,2496.375,2496.585,2495.265,2495.805,245959.9978
03.09.2024 03:45:00.000 GMT+0300,2495.745,2496.088,2494.878,2495.695,497159.99980000005
03.09.2024 04:00:00.000 GMT+0300,2495.665,2495.755,2491.255,2491.925,1168959.992
03.09.2024 04:15:00.000 GMT+0300,2491.895,2492.915,2489.534,2491.775,734129.999
03.09.2024 04:30:00.000 GMT+0300,2491.915,2492.504,2489.918,2490.925,1047509.9979000001
03.09.2024 04:45:00.000 GMT+0300,2490.985,2494.438,2490.735,2493.635,826270.0009999999
03.09.2024 05:00:00.000 GMT+0300,2493.635,2495.285,2492.365,2495.005,450740.004
03.09.2024 05:15:00.000 GMT+0300,2495.005,2495.375,2493.385,2493.755,241499.9967
03.09.2024 05:30:00.000 GMT+0300,2493.815,2496.268,2492.255,2495.225,343190.0003
03.09.2024 05:45:00.000 GMT+0300,2495.295,2496.238,2493.845,2495.195,319529.99899999995
